N_Percentile,Thr_Value,TN,FP,FN,TP,Sensitivity,Specificity,PPV,NPV,Recall,Accuracy,Site_Name
Top 58.0%,0.01747166011477666,3319,3791,92,920,0.9090909090909092,0.4668073136427567,0.1952876247081299,0.9730284374083846,0.9090909090909092,0.5219157842895839,University of Chicago
Top 59.0%,0.01702188098075839,3246,3864,84,928,0.91699604743083,0.45654008438818566,0.19365609348914856,0.9747747747747748,0.91699604743083,0.5139128293523763,University of Chicago
Top 60.0%,0.01656155340661112,3167,3943,82,930,0.9189723320158104,0.44542897327707454,0.19084752719064232,0.9747614650661742,0.9189723320158104,0.5044324058113765,University of Chicago
Top 61.0%,0.016107281,3094,4016,74,938,0.9268774703557312,0.4351617440225035,0.18934194590230116,0.976641414141414,0.9268774703557312,0.4964294508741689,University of Chicago
Top 62.0%,0.015617095,3017,4093,69,943,0.9318181818181818,0.4243319268635724,0.18725178713264495,0.9776409591704472,0.9318181818181818,0.4875646392514159,University of Chicago
Top 63.0%,0.01520097771364572,2939,4171,66,946,0.9347826086956522,0.41336146272855134,0.18487394957983191,0.978036605657238,0.9347826086956522,0.4783304604777148,University of Chicago
Top 64.0%,0.01480904543329625,2858,4252,66,946,0.9347826086956522,0.4019690576652602,0.1819930742593305,0.9774281805745554,0.9347826086956522,0.4683575474021177,University of Chicago
Top 65.0%,0.01437336192623424,2781,4329,62,950,0.9387351778656128,0.3911392405063291,0.1799583254404243,0.9781920506507212,0.9387351778656128,0.45936961339571536,University of Chicago
Top 66.0%,0.01396667304697828,2704,4406,58,954,0.9426877470355732,0.380309423347398,0.17798507462686566,0.9790007241129616,0.9426877470355732,0.45038167938931295,University of Chicago
Top 67.0%,0.0135773212264311,2623,4487,57,955,0.9436758893280632,0.3689170182841069,0.1754869533259831,0.978731343283582,0.9436758893280632,0.4405318886973652,University of Chicago
Top 68.0%,0.01317599636018374,2549,4561,50,962,0.950592885,0.35850914205344586,0.1741806988955278,0.9807618314736436,0.950592885,0.4322826889928589,University of Chicago
Top 69.0%,0.0128230105242293,2472,4638,46,966,0.9545454545454546,0.34767932489451475,0.17237687366167023,0.9817315329626688,0.9545454545454546,0.4232947549864565,University of Chicago
Top 70.0%,0.01239519956750986,2396,4714,41,971,0.9594861660079052,0.3369901547116737,0.17080035180299033,0.9831760361099712,0.9594861660079052,0.4145530657473528,University of Chicago
Top 71.0%,0.012022581,2322,4788,34,978,0.966403162055336,0.3265822784810127,0.1696149843912591,0.9855687606112056,0.966403162055336,0.4063038660428466,University of Chicago
Top 72.0%,0.01164434881114884,2244,4866,30,982,0.9703557312252964,0.31561181434599156,0.16792065663474692,0.9868073878627968,0.9703557312252964,0.39719280965279485,University of Chicago
Top 73.0%,0.011199742,2164,4946,29,983,0.9713438735177866,0.3043600562587904,0.16579524371732163,0.9867761057911536,0.9713438735177866,0.3874661413444964,University of Chicago
Top 74.0%,0.010875274,2085,5025,27,985,0.9733201581027668,0.29324894514767935,0.1638935108153078,0.9872159090909092,0.9733201581027668,0.37798571780349666,University of Chicago
Top 75.0%,0.01049951907275432,2006,5104,25,987,0.9752964426877472,0.2821378340365682,0.1620423575767526,0.9876907927129492,0.9752964426877472,0.3685052942624969,University of Chicago
Top 76.0%,0.0101933099120623,1927,5183,23,989,0.9772727272727272,0.2710267229254571,0.16023979261179522,0.9882051282051282,0.9772727272727272,0.3590248707214972,University of Chicago
Top 77.0%,0.009928797,1849,5261,19,993,0.9812252964426876,0.260056259,0.1587783818356252,0.98982869379015,0.9812252964426876,0.34991381433144547,University of Chicago
Top 78.0%,0.009540244,1770,5340,17,995,0.983201581,0.2489451476793249,0.15706393054459353,0.9904868494683828,0.983201581,0.3404333907904457,University of Chicago
Top 79.0%,0.009220766,1691,5419,15,997,0.9851778656126482,0.23783403656821375,0.1553927680798005,0.9912075029308324,0.9851778656126482,0.33095296724944595,University of Chicago
