"group","hour","avg_temperature","std","n"
"HT",50,36.5794926759557,0.459111880340247,622
"HT",51,36.5700396825397,0.428221713816468,560
"HT",52,36.576455026455,0.457393089289733,630
"HT",53,36.5257252326218,0.434098203170664,609
"HT",54,36.5661101516024,0.427762061130139,579
"HT",55,36.5577226162333,0.445277132456865,564
"HT",56,36.5777597986336,0.446601778013158,618
"HT",57,36.543961352657,0.440342060031237,575
"HT",58,36.5264367816092,0.506365070584896,580
"HT",59,36.5319126378287,0.489763117673827,524
"HT",60,36.5438105891126,0.478348314246252,596
"HT",61,36.5305108328364,0.446867134559368,559
"HT",62,36.5628399378399,0.442293675148548,572
"HT",63,36.5555555555556,0.44622082973175,516
"HT",64,36.5610412926391,0.425163622679656,557
"HT",65,36.5398009950249,0.432069555584752,469
"HT",66,36.5560486522025,0.416960258942366,338
"HT",67,36.5430682976555,0.437412142830045,218
"HT",68,36.57616066771,0.415769466086897,213
"HT",69,36.5668859649123,0.42001177785935,152
"HT",70,36.5217171717172,0.389296091932155,110
"HT",71,36.5756944444444,0.40461895490902,80
"HT",72,36.604797979798,0.430200680473197,44
"NT",0,36.6756348898375,0.511656777705672,5154
"NT",1,36.5762441089544,0.667071386490774,1391
"NT",2,36.6658903739706,0.583605746229598,1646
"NT",3,36.7333913548013,0.502371339937628,1532
"NT",4,36.7918609712118,0.492415070633971,1787
"NT",5,36.8501833051325,0.465348400163219,1576
"NT",6,36.8489377702576,0.447953995645519,1773
"NT",7,36.8553791887125,0.461865159516668,1638
"NT",8,36.8893698893699,0.436438797127045,1848
"NT",9,36.914292025624,0.466219131086121,1509
"NT",10,36.9240730030204,0.442005430471126,1729
"NT",11,36.9530511229314,0.424762176318482,1504
"NT",12,36.9525685663674,0.446051789028533,1819
"NT",13,36.9572365995724,0.4748764477514,1507
"NT",14,36.9704248366013,0.461392926757845,1700
"NT",15,36.9777630513217,0.436967950085747,1509
"NT",16,36.9553334567216,0.414454645258881,1801
"NT",17,36.959878649981,0.433669306149746,1465
"NT",18,36.9657385466035,0.4180633879685,1688
"NT",19,36.9773690584317,0.406363954039416,1468
"NT",20,36.9668386850153,0.399673391622356,1744
"NT",21,36.9696694652447,0.417078080266054,1469
"NT",22,36.9780550483533,0.401719396809134,1643
"NT",23,36.9793184578021,0.400543377895695,1464
"NT",24,36.971296837457,0.393051322890338,1711
"NT",25,36.9591245329063,0.411453104406065,1457
"NT",26,36.9665482534044,0.395755392968813,1689
"NT",27,36.9635225885226,0.398813247114199,1456
"NT",28,36.9715581470684,0.403220985773614,1715
"NT",29,36.9616091954023,0.374418819771126,1450
"NT",30,36.9693486590038,0.383914867446844,1624
"NT",31,36.975329566855,0.397273800848214,1475
"NT",32,36.9642313546423,0.385213093559041,1679
"NT",33,36.9602054418568,0.384758447440056,1417
"NT",34,36.9709959479633,0.386145610736321,1563
"NT",35,36.9598674521355,0.393167961960003,1358
"NT",36,36.9482115195043,0.386097683733328,1578
"NT",37,36.9608351865579,0.398957595344481,1349
"NT",38,36.9579991087344,0.395048490061678,1496
"NT",39,36.965877914952,0.397112590780025,1296
"NT",40,36.9415627051871,0.389167511120179,1523
"NT",41,36.9574686138868,0.399380744863729,1301
"NT",42,36.9530788457169,0.397590356937626,1467
"NT",43,36.9486605182257,0.387135370744845,1265
"NT",44,36.9509583707697,0.379897442097933,1484
"NT",45,36.9670879410216,0.403474174835169,1266
"NT",46,36.9705906051084,0.406630902064641,1379
"NT",47,36.9653398321148,0.432451265180116,1231
"NT",48,36.9703038674033,0.4298759128945,1448
"NT",49,36.9629036562583,0.416016556241035,1249
"NT",50,36.9641930251419,0.410714551809779,1370
"NT",51,36.9583333333333,0.395962325651337,1248
"NT",52,36.9604261796043,0.396802762801103,1387
"NT",53,36.9505167958656,0.430864166593307,1290
"NT",54,36.9563462023719,0.382976864355399,1321
"NT",55,36.9362227925102,0.40180693687209,1169
"NT",56,36.9448911630929,0.393998983590093,1368
"NT",57,36.9444919684441,0.377954981636345,1169
"NT",58,36.9343434343434,0.400797492896142,1276
"NT",59,36.9027648337993,0.389122258964539,1073
"NT",60,36.921054779982,0.398167094031234,1361
"NT",61,36.9134173751588,0.374127254133735,1137
"NT",62,36.897966594045,0.382134229834031,1224
"NT",63,36.8866043613707,0.372364842489832,1070
"NT",64,36.9021749408983,0.373248248802493,1175
"NT",65,36.9005113900511,0.370046120892434,956
"NT",66,36.9301075268817,0.381105123691765,682
"NT",67,36.9118954248366,0.381529604085527,425
"NT",68,36.8937416331995,0.371242402140196,332
"NT",69,36.8864541832669,0.375721822634168,251
"NT",70,36.8737623762376,0.429009640250626,202
"NT",71,36.8821034775233,0.33842429276809,131
"NT",72,36.8277777777778,0.432937802062218,70
